MUNID,LT1NAME,"MEDIAN.HOUSEHOLD.INCOME
(FINANCE 2011)
 $"
7003,Edwardsburgh-Cardinal Tp,67970.00
7019,Leeds and the Thousand Islands Tp,76414.00
7011,Elizabethtown-Kitley Tp,70563.00
11000,Lennox and Addington Co,62402.00
11010,Greater Napanee T,55736.00
11033,Addington Highlands Tp,50728.00
11002,Loyalist Tp,69324.00
11023,Stone Mills Tp,70028.00
39000,Middlesex Co,70899.00
39036,London C,56241.00
39002,Newbury V,40612.00
39020,Middlesex Centre M,91701.00
39057,Lucan Biddulph Tp,73073.00
39010,Adelaide-Metcalfe Tp,69361.00
39041,North Middlesex M,65680.00
39003,Southwest Middlesex M,55347.00
39013,Strathroy-Caradoc Tp,59737.00
39025,Thames Centre M,80714.00
14000,Northumberland Co,62427.00
14021,Cobourg T,57611.00
14005,Brighton M,63497.00
14028,Trent Hills M,53908.00
14022,Port Hope M,62180.00
14019,Hamilton Tp,79962.00
14015,Alnwick-Haldimand Tp,78090.00
14010,Cramahe Tp,62027.00
31000,Perth Co,65907.00
31011,Stratford C,56641.00
31016,St. Marys ST,68175.00
31035,North Perth M,63727.00
31002,Perth East Tp,74488.00
31008,Perth South Tp,80711.00
31017,West Perth M,67959.00
15000,Peterborough Co,64393.00
15014,Peterborough C,52883.00
15002,Asphodel-Norwood Tp,54407.00
15035,North Kawartha Tp,50174.00
15012,Cavan Monaghan Tp,78629.00
15021,Douro-Dummer Tp,65466.00
15041,Trent Lakes M,61130.00
15030,Havelock-Belmont-Methuen Tp,46754.00
15005,Otonabee-South Monaghan Tp,77512.00
15017,Selwyn Tp,74114.00
2000,Prescott and Russell UCo,71820.00
2036,Clarence-Rockland C,82898.00
2008,Hawkesbury T,39981.00
2044,Casselman V,73028.00
2001,East Hawkesbury Tp,66310.00
2048,Russell Tp,99646.00
2030,Alfred and Plantagenet Tp,59020.00
2005,Champlain Tp,64182.00
2011,The Nation M,83564.00
13002,Prince Edward County C,58670.00
47000,Renfrew Co,62186.00
47064,Pembroke C,47801.00
47002,Arnprior T,53250.00
47096,Deep River T,80604.00
47048,Renfrew T,41223.00
47077,Petawawa T,76392.00
47091,Laurentian Hills T,65350.00
47098,"Head, Clara and Maria Tp",46797.00
47046,Horton Tp,68433.00
47003,McNab-Braeside Tp,75345.00
47018,"Brudenell, Lyndoch and Raglan Tp",38137.00
47068,North Algona-Wilberforce Tp,66971.00
47041,Admaston-Bromley Tp,66668.00
47063,Laurentian Valley Tp,75782.00
47030,"Killaloe, Hagarty and Richards Tp",47438.00
47023,Madawaska Valley Tp,43411.00
47015,Bonnechere Valley Tp,54534.00
47050,Whitewater Region Tp,55794.00
47007,Greater Madawaska Tp,60991.00
43000,Simcoe Co,68884.00
43042,Barrie C,69471.00
43052,Orillia C,48972.00
43031,Collingwood T,56131.00
43074,Midland T,48496.00
43072,Penetanguishene T,55901.00
43064,Wasaga Beach T,54241.00
43017,Innisfil T,70252.00
43013,Bradford-West Gwillimbury T,83205.00
43025,New Tecumseth T,77961.00
43021,Essa Tp,79877.00
43068,Tiny Tp,65666.00
43002,Adjala-Tosorontio Tp,92344.00
43030,Clearview Tp,69432.00
43047,Oro-Medonte Tp,84129.00
43050,Ramara Tp,65221.00
43080,Severn Tp,66186.00
43040,Springwater Tp,84723.00
43070,Tay Tp,60012.00
1000,"Stormont, Dundas and Glengarry UCo",63024.00
1012,Cornwall C,41924.00
1026,North Dundas Tp,71958.00
1016,South Dundas Tp,59003.00
1047,North Glengarry Tp,54922.00
1002,South Glengarry Tp,67735.00
1037,North Stormont Tp,66072.00
1009,South Stormont Tp,68547.00
16002,Kawartha Lakes C,59392.00
23000,Wellington Co,75190.00
23008,Guelph C,68570.00
23015,Erin T,96876.00
23040,Minto T,57387.00
23001,Puslinch Tp,89261.00
23010,Centre Wellington Tp,77246.00
23005,Guelph-Eramosa Tp,97016.00
23023,Mapleton Tp,77506.00
23020,Wellington North Tp,58302.00
57061,Sault Ste. Marie C,56051.00
57041,Elliot Lake C,41773.00
57038,Blind River T,53432.00
57021,Bruce Mines T,40539.00
57028,Thessalon T,47115.00
57039,Spanish T,38433.00
57006,Hilton Beach V,49675.00
57004,Hilton Tp,48028.00
57001,Jocelyn Tp,49675.00
57016,Johnson Tp,47957.00
57011,Laird Tp,81470.00
57051,Macdonald Meredith et al Tp,62424.00
57076,Wawa M,53354.00
57019,Plummer Additional Tp,64126.00
57066,Prince Tp,87717.00
57008,St. Joseph Tp,64876.00
57014,Tarbutt and Tarbutt Additional Tp,60458.00
57096,Hornepayne Tp,78641.00
57040,The North Shore Tp,82996.00
57091,White River Tp,58732.00
57079,Dubreuilville Tp,46251.00
57023,Huron Shores M,55526.00
56027,Timmins C,65461.00
56076,Hearst T,57881.00
56031,Iroquois Falls T,55385.00
56066,Kapuskasing T,53212.00
56048,Smooth Rock Falls T,56927.00
56037,Cochrane T,53398.00
56065,Moosonee T,52376.00
56014,Black River - Matheson Tp,58124.00
56056,Moonbeam Tp,50349.00
56052,Fauquier-Strickland Tp,43402.00
56070,Val Rita-Harty Tp,66040.00
56077,Mattice - Val Cote Tp,65039.00
56073,Opasatika Tp,49683.00
60025,Dryden C,60058.00
60011,Kenora C,65164.00
60034,Sioux Lookout M,67034.00
60040,Red Lake M,97593.00
60001,Ignace Tp,51601.00
60021,Machin Tp,51061.00
60042,Ear Falls Tp,67666.00
60049,Pickle Lake Tp,82946.00
60008,Sioux Narrows-Nestor Falls Tp,43405.00
51026,Gore Bay T,43976.00
51015,Northeastern Manitoulin & The Isl. T,57446.00
51011,Assiginack Tp,47578.00
51021,Billings Tp,54992.00
51028,Burpee and Mills Tp,38107.00
51034,Cockburn Island Tp,49683.00
51001,Tehkummah Tp,37350.00
51009,Central Manitoulin M,54656.00
51025,Gordon-Barrie Island M,58876.00
48044,North Bay C,56609.00
48021,Mattawa T,45155.00
48069,Temagami M,49757.00
48050,West Nipissing M,51422.00
48001,South Algonquin Tp,59163.00
48026,Bonfield Tp,64347.00
48022,Calvin Tp,68525.00
48031,Chisholm Tp,53070.00
48034,East Ferris M,81981.00
48019,Mattawan Tp,45852.00
48017,Papineau-Cameron Tp,51102.00
49018,Kearney T,43132.00
49032,Parry Sound T,45854.00
49058,Powassan M,62886.00
49022,Burk's Falls V,35453.00
49056,South River V,53867.00
49048,Sundridge V,38871.00
49019,Armour Tp,52749.00
49036,Carling Tp,61099.00
49039,Whitestone M,44088.00
49066,Callander M,87649.00
49051,Joly Tp,46226.00
49054,Machar Tp,55683.00
49031,McDougall Tp,69419.00
49028,McKellar Tp,55799.00
49012,McMurrich-Monteith Tp,32256.00
49071,Nipissing Tp,69751.00
49014,Perry Tp,58826.00
49024,Ryerson Tp,38759.00
49046,Strong Tp,63976.00
49005,The Archipelago Tp,66506.00
49041,Magnetawan M,50858.00
49003,Seguin Tp,55799.00
59012,Fort Frances T,58841.00
59042,Rainy River T,48281.00
59011,Alberton Tp,111672.00
59001,Atikokan Tp,46845.00
59024,Chapple Tp,51036.00
59019,Emo Tp,58224.00
59016,La Vallee Tp,75347.00
59031,Morley Tp,82335.00
59040,Dawson Tp,44774.00
59045,Lake of The Woods Tp,50905.00
52026,Espanola T,61353.00
52001,French River M,50235.00
52003,Killarney M,63665.00
52007,Markstay-Warren M,54996.00
52004,St.-Charles M,54856.00
52028,Baldwin Tp,67035.00
52092,Chapleau Tp,70201.00
52031,Nairn and Hyman Tp,54895.00
52019,Sables-Spanish Rivers Tp,55035.00
58004,Thunder Bay C,57646.00
58059,Marathon T,67856.00
58058,Greenstone M,62643.00
58019,Conmee Tp,65534.00
58034,Dorion Tp,71546.00
58012,Gillies Tp,65127.00
58001,Neebing M,71031.00
58044,Nipigon Tp,51495.00
58016,O'Connor Tp,81720.00
58051,Schreiber Tp,58043.00
58028,Shuniah M,82199.00
58054,Terrace Bay Tp,60501.00
58066,Manitouwadge Tp,55398.00
58041,Red Rock Tp,62254.00
58007,Oliver Paipoonge M,77473.00
54010,Temiskaming Shores C,49760.00
54008,Cobalt T,40492.00
54052,Englehart T,38030.00
54068,Kirkland Lake T,48597.00
54006,Latchford T,29255.00
54038,Thornloe V,42239.00
54036,Armstrong Tp,39451.00
54032,Brethour Tp,42239.00
54029,Casey Tp,49879.00
54054,Chamberlain Tp,63662.00
54001,Coleman Tp,54725.00
54049,Evanturel Tp,72083.00
54026,Harley Tp,42016.00
54014,Harris Tp,90876.00
54034,Hilliard Tp,42239.00
54021,Hudson Tp,49138.00
54042,James Tp,37737.00
54024,Kerns Tp,56797.00
54062,Larder Lake Tp,46121.00
54058,McGarry Tp,29360.00
54066,Gauthier Tp,47062.00
54056,Matachewan Tp,34176.00
54047,Charlton-Dack M,66391.00
54099,Harley and Temiskaming Shores,49434.15
57099,Plummer Additional Tp and Bruce Mines T,55418.25
12099,Tyendinaga Tp and Deseronto T and Lennox and Addington,57202.80
