"","MUNID","LT1NAME","Geographic.code","CD_Name","CSD_type","CSD_Name","AHHI","MHHI"
"78",2001,"East Hawkesbury Tp",3502001,"Prescott and Russell","Township","East Hawkesbury",77742,66310
"79",2005,"Champlain Tp",3502010,"Prescott and Russell","Township","Champlain",78811,64182
"80",2008,"Hawkesbury T",3502008,"Prescott and Russell","Town","Hawkesbury",50647,39981
"81",2011,"The Nation M",3502025,"Prescott and Russell","Municipality","The Nation / La Nation",87119,83564
"82",2030,"Alfred and Plantagenet Tp",3502023,"Prescott and Russell","Township","Alfred and Plantagenet",67720,59020
"83",2036,"Clarence-Rockland C",3502036,"Prescott and Russell","City","Clarence-Rockland",90394,82898
"84",2044,"Casselman V",3502044,"Prescott and Russell","Village","Casselman",82063,73028
"85",2048,"Russell Tp",3502048,"Prescott and Russell","Township","Russell",104921,99646
"86",21000,"Peel R",NA,NA,NA,NA,NA,NA
"87",21005,"Mississauga C",3521005,"Peel","City","Mississauga",95052,75556
"88",21010,"Brampton C",3521010,"Peel","City","Brampton",89010,77787
"89",21024,"Caledon T",3521024,"Peel","Town","Caledon",118326,98502
"90",22000,"Dufferin Co",NA,NA,NA,NA,NA,NA
"91",22001,"East Garafraxa Tp",3522001,"Dufferin","Township","East Garafraxa",140538,116041
"92",22005,"Grand Valley T",NA,NA,NA,NA,NA,NA
"93",22008,"Amaranth Tp",NA,NA,NA,NA,NA,NA
"94",22012,"Mono T",3522012,"Dufferin","Town","Mono",153487,106273
"95",22014,"Orangeville T",3522014,"Dufferin","Town","Orangeville",83927,73953
"96",22016,"Mulmur Tp",3522016,"Dufferin","Township","Mulmur",99930,75076
"97",22019,"Melancthon Tp",NA,NA,NA,NA,NA,NA
"98",22021,"Shelburne T",3522021,"Dufferin","Town","Shelburne",66353,63608
"99",23000,"Wellington Co",NA,NA,NA,NA,NA,NA
"100",23001,"Puslinch Tp",3523001,"Wellington","Township","Puslinch",127172,89261
"101",23005,"Guelph/Eramosa Tp",3523009,"Wellington","Township","Guelph/Eramosa",113837,97016
"102",23008,"Guelph C",3523008,"Wellington","City","Guelph",83047,68570
"103",23010,"Centre Wellington Tp",3523025,"Wellington","Township","Centre Wellington",91615,77246
"104",23015,"Erin T",3523017,"Wellington","Town","Erin",116434,96876
"105",23020,"Wellington North Tp",3523050,"Wellington","Township","Wellington North",67093,58302
"106",23023,"Mapleton Tp",3523033,"Wellington","Township","Mapleton",86846,77506
"107",23040,"Minto T",3523043,"Wellington","Town","Minto",66956,57387
"108",24000,"Halton R",NA,NA,NA,NA,NA,NA
"109",24001,"Oakville T",3524001,"Halton","Town","Oakville",142490,101713
"110",24002,"Burlington C",3524002,"Halton","City","Burlington",105503,82494
"111",24009,"Milton T",3524009,"Halton","Town","Milton",106743,95898
"112",24015,"Halton Hills T",3524015,"Halton","Town","Halton Hills",112690,94190
"113",25005,"Hamilton C",3514019,"Northumberland","Township","Hamilton",91078,79962
"114",26000,"Niagara R",NA,NA,NA,NA,NA,NA
"115",26003,"Fort Erie T",3526003,"Niagara","Town","Fort Erie",65104,54098
"116",26011,"Port Colborne C",3526011,"Niagara","City","Port Colborne",65261,52643
