"","MUNID","LT1NAME","Geographic.code","CD_Name","CSD_type","CSD_Name","AHHI","MHHI"
"341",54042,"James Tp",NA,NA,NA,NA,NA,NA
"342",54047,"Charlton/Dack M",NA,NA,NA,NA,NA,NA
"343",54049,"Evanturel Tp",3554049,"Timiskaming","Township","Evanturel",85745,72083
"344",54052,"Englehart T",NA,NA,NA,NA,NA,NA
"345",54054,"Chamberlain Tp",NA,NA,NA,NA,NA,NA
"346",54056,"Matachewan Tp",3554056,"Timiskaming","Township","Matachewan",53737,34176
"347",54058,"McGarry Tp",3554058,"Timiskaming","Township","McGarry",47905,29360
"348",54062,"Larder Lake Tp",NA,NA,NA,NA,NA,NA
"349",54066,"Gauthier Tp",3554066,"Timiskaming","Township","Gauthier",NA,NA
"350",54068,"Kirkland Lake T",3554068,"Timiskaming","Town","Kirkland Lake",65108,48597
"351",56014,"Black River - Matheson Tp",3556014,"Cochrane","Township","Black River-Matheson",71131,58124
"352",56027,"Timmins C",3556027,"Cochrane","City","Timmins",78076,65461
"353",56031,"Iroquois Falls T",3556031,"Cochrane","Town","Iroquois Falls",69040,55385
"354",56037,"Cochrane T",3556042,"Cochrane","Town","Cochrane",64418,53398
"355",56048,"Smooth Rock Falls T",3556048,"Cochrane","Town","Smooth Rock Falls",71091,56927
"356",56052,"Fauquier-Strickland Tp",3556052,"Cochrane","Township","Fauquier-Strickland",51973,43402
"357",56056,"Moonbeam Tp",3556056,"Cochrane","Township","Moonbeam",74172,50349
"358",56065,"Moosonee T",3556106,"Cochrane","Town","Moosonee",69483,52376
"359",56066,"Kapuskasing T",3556066,"Cochrane","Town","Kapuskasing",66784,53212
"360",56070,"Val Rita-Harty Tp",3556070,"Cochrane","Township","Val Rita-Harty",69027,66040
"361",56073,"Opasatika Tp",3556073,"Cochrane","Township","Opasatika",NA,NA
"362",56076,"Hearst T",3556076,"Cochrane","Town","Hearst",67651,57881
"363",56077,"Mattice - Val Cote Tp",3556077,"Cochrane","Township","Mattice-Val C?t?",64437,65039
"364",57001,"Jocelyn Tp",NA,NA,NA,NA,NA,NA
"365",57004,"Hilton Tp",NA,NA,NA,NA,NA,NA
"366",57006,"Hilton Beach V",3557006,"Algoma","Village","Hilton Beach",NA,NA
"367",57008,"St. Joseph Tp",NA,NA,NA,NA,NA,NA
"368",57011,"Laird Tp",NA,NA,NA,NA,NA,NA
"369",57014,"Tarbutt and Tarbutt Additional Tp",3557014,"Algoma","Township","Tarbutt and Tarbutt Additional",74748,60458
"370",57016,"Johnson Tp",3557016,"Algoma","Township","Johnson",57071,47957
"371",57019,"Plummer Additional Tp",3557019,"Algoma","Township","Plummer Additional",75156,64126
"372",57021,"Bruce Mines T",3557021,"Algoma","Town","Bruce Mines",56858,40539
"373",57023,"Huron Shores M",3557035,"Algoma","Municipality","Huron Shores",60863,55526
"374",57028,"Thessalon T",3557028,"Algoma","Town","Thessalon",58440,47115
"375",57038,"Blind River T",3557038,"Algoma","Town","Blind River",68035,53432
"376",57039,"Spanish T",NA,NA,NA,NA,NA,NA
"377",57040,"The North Shore Tp",3557040,"Algoma","Township","The North Shore",74570,82996
"378",57041,"Elliot Lake C",3557041,"Algoma","City","Elliot Lake",51321,41773
"379",57051,"Macdonald Meredith et al Tp",NA,NA,NA,NA,NA,NA
"380",57061,"Sault Ste. Marie C",3557061,"Algoma","City","Sault Ste. Marie",69456,56051
"381",57066,"Prince Tp",NA,NA,NA,NA,NA,NA
"382",57076,"Wawa M",3557076,"Algoma","Municipality","Wawa",65824,53354
"383",57079,"Dubreuilville Tp",3557079,"Algoma","Township","Dubreuilville",52739,46251
"384",57091,"White River Tp",3557091,"Algoma","Township","White River",69464,58732
"385",57096,"Hornepayne Tp",NA,NA,NA,NA,NA,NA
"386",58001,"Neebing M",3558001,"Thunder Bay","Municipality","Neebing",78509,71031
"387",58004,"Thunder Bay C",3558004,"Thunder Bay","City","Thunder Bay",71142,57646
"388",58007,"Oliver Paipoonge M",3558011,"Thunder Bay","Municipality","Oliver Paipoonge",93328,77473
"389",58012,"Gillies Tp",3558012,"Thunder Bay","Township","Gillies",72728,65127
"390",58016,"O'Connor Tp",3558016,"Thunder Bay","Township","O'Connor",81794,81720
"391",58019,"Conmee Tp",3558019,"Thunder Bay","Township","Conmee",73723,65534
"392",58028,"Shuniah M",3558028,"Thunder Bay","Township","Shuniah",103259,82199
"393",58034,"Dorion Tp",3558034,"Thunder Bay","Township","Dorion",83779,71546
"394",58041,"Red Rock Tp",3558041,"Thunder Bay","Township","Red Rock",70302,62254
"395",58044,"Nipigon Tp",NA,NA,NA,NA,NA,NA
"396",58051,"Schreiber Tp",3558051,"Thunder Bay","Township","Schreiber",66313,58043
"397",58054,"Terrace Bay Tp",3558054,"Thunder Bay","Township","Terrace Bay",70658,60501
"398",58058,"Greenstone M",3558075,"Thunder Bay","Municipality","Greenstone",69107,62643
"399",58059,"Marathon T",NA,NA,NA,NA,NA,NA
"400",58066,"Manitouwadge Tp",NA,NA,NA,NA,NA,NA
"401",59001,"Atikokan Tp",3559001,"Rainy River","Township","Atikokan",62404,46845
"402",59011,"Alberton Tp",3559011,"Rainy River","Township","Alberton",116433,111672
"403",59012,"Fort Frances T",3559012,"Rainy River","Town","Fort Frances",72775,58841
"404",59016,"La Vallee Tp",3559016,"Rainy River","Township","La Vallee",82129,75347
"405",59019,"Emo Tp",NA,NA,NA,NA,NA,NA
"406",59024,"Chapple Tp",NA,NA,NA,NA,NA,NA
"407",59031,"Morley Tp",NA,NA,NA,NA,NA,NA
"408",59040,"Dawson Tp",3559040,"Rainy River","Township","Dawson",60618,44774
"409",59042,"Rainy River T",NA,NA,NA,NA,NA,NA
"410",59045,"Lake of The Woods Tp",NA,NA,NA,NA,NA,NA
"411",60001,"Ignace Tp",3560001,"Kenora","Township","Ignace",57619,51601
"412",60008,"Sioux Narrows-Nestor Falls Tp",NA,NA,NA,NA,NA,NA
"413",60011,"Kenora C",3560010,"Kenora","City","Kenora",74594,65164
"414",60021,"Machin Tp",NA,NA,NA,NA,NA,NA
"415",60025,"Dryden C",3560027,"Kenora","City","Dryden",76518,60058
"416",60034,"Sioux Lookout M",3560034,"Kenora","Municipality","Sioux Lookout",85416,67034
"417",60040,"Red Lake M",3560042,"Kenora","Municipality","Red Lake",101912,97593
"418",60042,"Ear Falls Tp",3560032,"Kenora","Township","Ear Falls",66512,67666
"419",60049,"Pickle Lake Tp",3560049,"Kenora","Township","Pickle Lake",82545,82946
"420",6005,"Ottawa C",3506008,"Ottawa","City","Ottawa",96815,79634
"421",7000,"Leeds and Grenville UCo",NA,NA,NA,NA,NA,NA
"422",7003,"Edwardsburgh/Cardinal Tp",3507004,"Leeds and Grenville","Township","Edwardsburgh/Cardinal",71267,67970
"423",7006,"Augusta Tp",3507006,"Leeds and Grenville","Township","Augusta",80882,68526
"424",7008,"Prescott ST",NA,NA,NA,NA,NA,NA
"425",7011,"Elizabethtown-Kitley Tp",3507014,"Leeds and Grenville","Township","Elizabethtown-Kitley",81599,70563
"426",7015,"Brockville C",3507015,"Leeds and Grenville","City","Brockville",60324,47903
"427",7017,"Front of Yonge Tp",3507017,"Leeds and Grenville","Township","Front of Yonge",80839,70446
"428",7019,"Leeds and the Thousand Islands Tp",3507021,"Leeds and Grenville","Township","Leeds and the Thousand Islands",86531,76414
"429",7024,"Gananoque ST",3507024,"Leeds and Grenville","Town","Gananoque",62866,49111
"430",7030,"Rideau Lakes Tp",3507040,"Leeds and Grenville","Township","Rideau Lakes",76163,65405
"431",7033,"Westport V",3507033,"Leeds and Grenville","Village","Westport",69579,58207
"432",7040,"Athens Tp",3507042,"Leeds and Grenville","Township","Athens",68858,63754
"433",7050,"Merrickville-Wolford V",NA,NA,NA,NA,NA,NA
"434",7055,"North Grenville M",3507065,"Leeds and Grenville","Municipality","North Grenville",90293,82434
"435",9000,"Lanark Co",NA,NA,NA,NA,NA,NA
"436",9001,"Montague Tp",3509001,"Lanark","Township","Montague",79081,70200
"437",9004,"Smiths Falls ST",3509004,"Lanark","Town","Smiths Falls",53282,45469
"438",9007,"Drummond-North Elmsley Tp",NA,NA,NA,NA,NA,NA
"439",9010,"Tay Valley Tp",NA,NA,NA,NA,NA,NA
"440",9021,"Perth T",3509021,"Lanark","Town","Perth",60345,47201
"441",9024,"Beckwith Tp",3509024,"Lanark","Township","Beckwith",101191,96350
"442",9028,"Carleton Place T",3509028,"Lanark","Town","Carleton Place",76321,67465
"443",9030,"Mississippi Mills T",3509030,"Lanark","Town","Mississippi Mills",88888,78953
"444",9033,"Lanark Highlands Tp",NA,NA,NA,NA,NA,NA
