"","LT1NAME"
"253","Huntsville T"
"254","Muskoka Lakes Tp"
"255","Georgian Bay Tp"
"256","Haliburton Co"
"257","Highlands East M"
"258","Minden Hills Tp"
"259","Algonquin Highlands Tp"
"260","Dysart et al Tp"
"261","Renfrew Co"
"262","Arnprior T"
"263","McNab-Braeside Tp"
"264","Greater Madawaska Tp"
"265","Bonnechere Valley Tp"
"266","Brudenell, Lyndoch and Raglan Tp"
"267","Madawaska Valley Tp"
"268","Killaloe, Hagarty and Richards Tp"
"269","Admaston/Bromley Tp"
"270","Horton Tp"
"271","Renfrew T"
"272","Whitewater Region Tp"
"273","Laurentian Valley Tp"
"274","Pembroke C"
"275","North Algona-Wilberforce Tp"
"276","Petawawa T"
"277","Laurentian Hills T"
"278","Deep River T"
"279","Head, Clara and Maria Tp"
"280","South Algonquin Tp"
"281","Papineau-Cameron Tp"
"282","Mattawan Tp"
"283","Mattawa T"
"284","Calvin Tp"
"285","Bonfield Tp"
"286","Chisholm Tp"
"287","East Ferris Tp"
"288","East Ferris M"
"289","North Bay C"
"290","West Nipissing M"
"291","Temagami M"
"292","Seguin Tp"
"293","The Archipelago Tp"
"294","McMurrich-Monteith Tp"
"295","Perry Tp"
"296","Kearney T"
"297","Armour Tp"
"298","Burk's Falls V"
"299","Ryerson Tp"
"300","McKellar Tp"
"301","McDougall Tp"
"302","Parry Sound T"
"303","Carling Tp"
"304","Whitestone M"
"305","Magnetawan M"
"306","Strong Tp"
"307","Sundridge V"
"308","Joly Tp"
"309","Machar Tp"
"310","South River V"
"311","Powassan M"
"312","Callander M"
"313","Nipissing Tp"
"314","Tehkummah Tp"
"315","Central Manitoulin Tp"
"316","Central Manitoulin M"
"317","Assiginack Tp"
"318","Northeastern Manitoulin & The Isl. T"
"319","Billings Tp"
"320","Gordon/Barrie Island M"
"321","Gore Bay T"
"322","Burpee and Mills Tp"
"323","Cockburn Island Tp"
"324","French River M"
"325","Killarney M"
"326","St.-Charles M"
"327","Markstay-Warren M"
"328","Sables-Spanish Rivers Tp"
"329","Espanola T"
"330","Baldwin Tp"
"331","Nairn and Hyman Tp"
"332","Chapleau Tp"
"333","Greater Sudbury C"
"334","Coleman Tp"
"335","Latchford T"
"336","Cobalt T"
"337","Temiskaming Shores C"
"338","Harris Tp"
"339","Hudson Tp"
"340","Kerns Tp"
"341","Harley Tp"
"342","Casey Tp"
"343","Brethour Tp"
"344","Hilliard Tp"
"345","Armstrong Tp"
"346","Thornloe V"
"347","James Tp"
"348","Charlton/Dack M"
"349","Evanturel Tp"
"350","Englehart T"
"351","Chamberlain Tp"
"352","Matachewan Tp"
"353","McGarry Tp"
"354","Larder Lake Tp"
"355","Gauthier Tp"
"356","Kirkland Lake T"
"357","Black River - Matheson Tp"
"358","Timmins C"
"359","Iroquois Falls T"
"360","Cochrane T"
"361","Smooth Rock Falls T"
"362","Fauquier-Strickland Tp"
"363","Moonbeam Tp"
"364","Moosonee T"
"365","Kapuskasing T"
"366","Val Rita-Harty Tp"
"367","Opasatika Tp"
"368","Hearst T"
"369","Mattice - Val Cote Tp"
"370","Jocelyn Tp"
"371","Hilton Tp"
"372","Hilton Beach V"
"373","St. Joseph Tp"
"374","Laird Tp"
"375","Tarbutt and Tarbutt Additional Tp"
"376","Johnson Tp"
"377","Plummer Additional Tp"
"378","Bruce Mines T"
"379","Huron Shores M"
"380","Thessalon T"
"381","Blind River T"
"382","Spanish T"
"383","The North Shore Tp"
"384","Elliot Lake C"
"385","Macdonald Meredith et al Tp"
"386","Sault Ste. Marie C"
"387","Prince Tp"
"388","Wawa M"
"389","Dubreuilville Tp"
"390","White River Tp"
"391","Hornepayne Tp"
"392","Neebing M"
"393","Thunder Bay C"
"394","Oliver Paipoonge M"
"395","Gillies Tp"
"396","O'Connor Tp"
"397","Conmee Tp"
"398","Shuniah M"
"399","Dorion Tp"
"400","Red Rock Tp"
"401","Nipigon Tp"
"402","Schreiber Tp"
"403","Terrace Bay Tp"
"404","Greenstone M"
"405","Marathon T"
"406","Manitouwadge Tp"
"407","Atikokan Tp"
"408","Alberton Tp"
"409","Fort Frances T"
"410","La Vallee Tp"
"411","Emo Tp"
"412","Chapple Tp"
"413","Morley Tp"
"414","Dawson Tp"
"415","Rainy River T"
"416","Lake of The Woods Tp"
"417","Ignace Tp"
"418","Sioux Narrows-Nestor Falls Tp"
"419","Kenora C"
"420","Machin Tp"
"421","Dryden C"
"422","Sioux Lookout M"
"423","Red Lake M"
"424","Ear Falls Tp"
"425","Pickle Lake Tp"
"426","Ottawa C"
"427","Leeds and Grenville UCo"
"428","Edwardsburgh/Cardinal Tp"
"429","Augusta Tp"
"430","Prescott ST"
"431","Elizabethtown-Kitley Tp"
"432","Brockville C"
"433","Front of Yonge Tp"
"434","Leeds and the Thousand Islands Tp"
"435","Gananoque ST"
"436","Rideau Lakes Tp"
"437","Westport V"
"438","Athens Tp"
"439","Merrickville-Wolford V"
"440","North Grenville M"
"441","Lanark Co"
"442","Montague Tp"
"443","Smiths Falls ST"
"444","Drummond-North Elmsley Tp"
"445","Tay Valley Tp"
"446","Perth T"
"447","Beckwith Tp"
"448","Carleton Place T"
"449","Mississippi Mills T"
"450","Mississippi Mills M"
"451","Lanark Highlands Tp"
