"","MUNID","MUNTIER","LT1NO","Highest.CI","UT.Total.Core.CI","Recent.Weighted.CVA","UT.Weighted.CVA","LTUTAssessmentRatio","adjusted.core.infrastructure","Indicator1","min","median","max","Weighted.Indicator1","LT1NAME","MEDIAN.HOUSEHOLD.INCOME..FINANCE.2011....","households","Indicator2","Weighted.Indicator2","Infrastructure.Index"
"1",1000,"UT",71,232187245,232187245,7039173635,7039173635,1,232187245,0.0329850145826102,0,0.0846711530463825,0.850215013459618,-0.610433856209079,"Stormont, Dundas and Glengarry UCo",63024,27018,0.136357552577803,-1.73065890993491,-1.17054638307199
"2",1002,"LT",71,85452118,232187245,1571495851,7039173635,0.223250047872984,137287931.561746,0.0873613070466493,0,0.0846711530463825,0.850215013459618,0.00351404294303218,"South Glengarry Tp",67735,5872,0.345170109054546,-0.0787317792475943,-0.0376088681522811
"3",1009,"LT",71,80406565,232187245,1335338933,7039173635,0.189701093088607,124452739.177732,0.0931993639233854,0,0.0846711530463825,0.850215013459618,0.0111400682808682,"South Stormont Tp",68547,5328,0.340762496428253,-0.0926846991270757,-0.0407723154231038
"4",1012,"ST",71,307031556,232187245,4621505299,7039173635,0.656540886563881,459471975.681125,0.0994204152011998,0,0.0846711530463825,0.850215013459618,0.0192663842237018,"Cornwall C",41924,21803,0.502666636496579,0.0967466147106538,0.0580064994671778
"5",1016,"LT",71,98271792,232187245,1230603707,7039173635,0.174822183797431,138863273.220809,0.112841585338089,0,0.0846711530463825,0.850215013459618,0.036797933793761,"South Dundas Tp",59003,4442,0.529827809794854,0.119316211037964,0.0780570724158624
"6",1026,"LT",71,65286819,232187245,1287831124,7039173635,0.182952032550622,107765947.405079,0.0836801855435505,0,0.0846711530463825,0.850215013459618,-0.0117037204192686,"North Dundas Tp",71958,4584,0.32670656257926,-0.13969539804749,-0.0756995592333792
"7",1037,"LT",71,32014204,232187245,645594161,7039173635,0.0917144816246602,53309136.815033,0.0825737592366994,0,0.0846711530463825,0.850215013459618,-0.0247710552439758,"North Stormont Tp",66072,2815,0.286619542312273,-0.299094831007108,-0.161932943125542
"8",1047,"LT",71,53554481,232187245,968309859,7039173635,0.137560161065696,85494195.8196002,0.0882921876969139,0,0.0846711530463825,0.850215013459618,0.00473001592433481,"North Glengarry Tp",54922,4838,0.321754347503444,-0.157236782572178,-0.0762533833239218
"9",2000,"UT",67,176985927,176985927,9591286419,9591286419,1,176985927,0.018452783002017,0,0.0846711530463825,0.850215013459618,-0.782065292155539,"Prescott and Russell UCo",71820,35831,0.0687756027337748,-4.4139251578037,-2.59799522497962
"10",2001,"LT",67,16694386,176985927,355824351,9591286419,0.0370987097512931,23260335.5358365,0.0653702746044959,0,0.0846711530463825,0.850215013459618,-0.227951052365068,"East Hawkesbury Tp",66310,1480,0.237014672441853,-0.570982766794086,-0.399466909579577
"11",2005,"LT",67,41885016,176985927,922053540,9591286419,0.0961345016423912,58899469.8898616,0.0638785789921284,0,0.0846711530463825,0.850215013459618,-0.245568570949589,"Champlain Tp",64182,4021,0.228225447209315,-0.631483125288839,-0.438525848119214
"12",2008,"LT",67,129779932,176985927,957969815,9591286419,0.0998791791998095,147457141.118677,0.15392670918204,0,0.0846711530463825,0.850215013459618,0.0904658239937729,"Hawkesbury T",39981,5271,0.699711708150906,0.284669393574331,0.187567608784052
"13",2011,"LT",67,105755758,176985927,1371430252,9591286419,0.142987102260156,131062462.842558,0.0955662620475412,0,0.0846711530463825,0.850215013459618,0.0142318547173478,"The Nation M",83564,4762,0.329359134861928,-0.130516589556834,-0.0581423674197432
"14",2030,"LT",67,68978331,176985927,898935885,9591286419,0.0937242248567658,85566199.8186311,0.095186098637759,0,0.0846711530463825,0.850215013459618,0.0137352621255437,"Alfred and Plantagenet Tp",59020,4269,0.339607196367209,-0.0964018721231332,-0.0413333049987947
"15",2036,"LT",67,160392837,176985927,2693803935,9591286419,0.280859502815354,210101016.462535,0.0779941753491182,0,0.0846711530463825,0.850215013459618,-0.0788577627330371,"Clarence-Rockland C",82898,9441,0.268451665683334,-0.387013058517268,-0.232935410625153
"16",2044,"LT",67,42336906,176985927,431345193,9591286419,0.0449726109883988,50296425.2453922,0.116603653087174,0,0.0846711530463825,0.850215013459618,0.0417121757381147,"Casselman V",73028,1541,0.446935728112821,0.0531735086170974,0.047442842177606
"17",2048,"LT",67,158295150,176985927,1857653456,9591286419,0.193681366069942,192574026.116515,0.10366520488228,0,0.0846711530463825,0.850215013459618,0.0248111869457673,"Russell Tp",99646,5285,0.36567296121651,-0.0182485591627756,0.00328131389149586
"18",6005,"ST",20,10643816463,NA,174397249120,NA,NA,10643816463,0.0610320203828224,0,0.0846711530463825,0.850215013459618,-0.279187560497855,"Ottawa C",79634,398119,0.335726746555678,-0.109074477096348,-0.194131018797102
"19",7000,"UT",56,445973072,445973072,9907049232,9907049232,1,445973072,0.04501573188508,0,0.0846711530463825,0.850215013459618,-0.468346298999606,"Leeds and Grenville UCo",70090,34568,0.184068012664248,-1.02287165756866,-0.745608978284135
"20",7003,"LT",56,46836552,445973072,740843312,9907049232,0.0747794115736358,80186155.9018467,0.108236322853984,0,0.0846711530463825,0.850215013459618,0.0307822595492844,"Edwardsburgh-Cardinal Tp",67970,3064,0.385028930661348,0.00865927317719377,0.0197207663632391
"21",7006,"LT",56,21872829,445973072,801605018,9907049232,0.0809125905431859,57957665.5680228,0.0723020243967868,0,0.0846711530463825,0.850215013459618,-0.146084329840411,"Augusta Tp",68526,3085,0.274157628197021,-0.358145561486667,-0.252114945663539
