"","CSD_Name"
"282","Parry Sound, Unorganized, Centre Part"
"283","Tehkummah"
"284","Central Manitoulin"
"285","Assiginack"
"286","Northeastern Manitoulin and the Islands"
"287","Gordon/Barrie Island"
"288","Burpee and Mills"
"289","Whitefish River (Part) 4"
"290","Sucker Creek 23"
"291","Sheguiandah 24"
"292","Wikwemikong Unceded"
"293","Sheshegwaning 20"
"294","M'Chigeeng 22 (West Bay 22)"
"295","Manitoulin, Unorganized, West Part"
"296","Zhiibaahaasing 19A (Cockburn Island 19A)"
"297","Markstay-Warren"
"298","Espanola"
"299","Baldwin"
"300","Whitefish Lake 6"
"301","Chapleau"
"302","Greater Sudbury / Grand Sudbury"
"303","Wahnapitei 11"
"304","Coleman"
"305","Latchford"
"306","Harris"
"307","Temiskaming Shores"
"308","Kerns"
"309","Casey"
"310","Hilliard"
"311","Evanturel"
"312","Matachewan"
"313","Matachewan 72"
"314","McGarry"
"315","Gauthier"
"316","Kirkland Lake"
"317","Black River-Matheson"
"318","Timmins"
"319","Iroquois Falls"
"320","Cochrane"
"321","Smooth Rock Falls"
"322","Fauquier-Strickland"
"323","Moonbeam"
"324","Kapuskasing"
"325","Val Rita-Harty"
"326","Opasatika"
"327","Hearst"
"328","Mattice-Val Côté"
"329","Cochrane, Unorganized, North Part"
"330","Constance Lake 92"
"331","New Post 69A"
"332","Moosonee"
"333","Hilton Beach"
"334","Tarbutt and Tarbutt Additional"
"335","Johnson"
"336","Plummer Additional"
"337","Bruce Mines"
"338","Thessalon 12"
"339","Thessalon"
"340","Huron Shores"
"341","Blind River"
"342","The North Shore"
"343","Elliot Lake"
"344","Sault Ste. Marie"
"345","Sagamok"
"346","Serpent River 7"
"347","Mississagi River 8"
"348","Garden River 14"
"349","Wawa"
"350","Gros Cap 49"
"351","Dubreuilville"
"352","White River"
"353","Neebing"
"354","Fort William 52"
"355","Thunder Bay"
"356","Oliver Paipoonge"
"357","Gillies"
"358","O'Connor"
"359","Conmee"
"360","Shuniah"
"361","Dorion"
"362","Red Rock"
"363","Schreiber"
"364","Terrace Bay"
"365","Pic Mobert North"
"366","Pic Mobert South"
"367","Pays Plat 51"
"368","Lake Helen 53A"
"369","Ginoogaming First Nation"
"370","Long Lake 58"
"371","Rocky Bay 1"
"372","Greenstone"
"373","Aroland 83"
"374","Ojibway Nation of Saugeen (Savant Lake)"
"375","Osnaburgh 63A"
"376","Thunder Bay, Unorganized"
"377","Whitesand"
"378","Atikokan"
"379","Alberton"
"380","Fort Frances"
"381","La Vallee"
"382","Manitou Rapids 11"
"383","Dawson"
"384","Big Grassy River 35G"
"385","Saug-a-Gaw-Sing 1"
"386","Neguaguon Lake 25D"
"387","Rainy Lake 18C"
"388","Couchiching 16A"
"389","Rainy Lake 26A"
"390","Seine River 23A"
"391","Rainy Lake 17A"
"392","Ignace"
"393","Whitefish Bay 32A"
"394","Whitefish Bay 33A"
"395","Kenora"
"396","Eagle Lake 27"
"397","Dryden"
"398","Ear Falls"
"399","Sioux Lookout"
"400","Red Lake"
"401","Slate Falls"
"402","Pickle Lake"
"403","Marten Falls 65"
"404","Cat Lake 63C"
"405","Osnaburgh 63B"
"406","Lac Seul 28"
"407","Wabigoon Lake 27"
"408","English River 21"
"409","Northwest Angle 33B"
"410","Wabaseemoong"
"411","Sabaskong Bay 35D"
"412","Shoal Lake 34B2"
"413","Lake Of The Woods 37"
"414","Kenora 38B"
"415","Shoal Lake (Part) 39A"
"416","Deer Lake"
"417","Kitchenuhmaykoosib Aaki 84 (Big Trout Lake)"
"418","Fort Severn 89"
"419","North Spirit Lake"
"420","Shoal Lake (Part) 40"
"421","Whitefish Bay 34A"
"422","Wabauskang 21"
"423","Wapekeka 2"
"424","The Dalles 38C"
"425","Kenora, Unorganized"
"426","Muskrat Dam Lake"
"427","Kee-Way-Win"
